,location,total_sqft,bath,price,bhk
0,1st block jayanagar,2850.0,4.0,428.0,4
1,1st block jayanagar,1630.0,3.0,194.0,3
2,1st block jayanagar,1875.0,2.0,235.0,3
3,1st block jayanagar,1200.0,2.0,130.0,3
4,1st block jayanagar,1235.0,2.0,148.0,2
5,1st block jayanagar,2750.0,4.0,413.0,4
6,1st block jayanagar,2450.0,4.0,368.0,4
8,1st phase jp nagar,1875.0,3.0,167.0,3
9,1st phase jp nagar,1500.0,5.0,85.0,5
10,1st phase jp nagar,2065.0,4.0,210.0,3
12,1st phase jp nagar,2059.0,3.0,225.0,3
13,1st phase jp nagar,1394.0,2.0,100.0,2
14,1st phase jp nagar,1077.0,2.0,93.0,2
15,1st phase jp nagar,1566.0,2.0,180.0,2
16,1st phase jp nagar,840.0,2.0,50.0,1
17,1st phase jp nagar,1590.0,3.0,131.0,3
18,1st phase jp nagar,2180.0,3.0,210.0,3
19,1st phase jp nagar,1180.0,2.0,88.5,2
20,1st phase jp nagar,1200.0,2.0,86.0,2
21,1st phase jp nagar,1394.0,2.0,85.0,2
22,1st phase jp nagar,2077.0,3.0,175.0,3
24,1st phase jp nagar,1205.0,2.0,85.0,2
26,1st phase jp nagar,900.0,2.0,75.0,2
27,2nd phase judicial layout,1450.0,2.0,50.75,3
28,2nd phase judicial layout,1150.0,2.0,40.25,2
29,2nd phase judicial layout,1350.0,2.0,47.25,3
30,2nd phase judicial layout,1350.0,2.0,47.25,3
31,2nd phase judicial layout,900.0,2.0,41.0,2
32,2nd phase judicial layout,1681.0,3.0,69.0,3
33,2nd phase judicial layout,1350.0,2.0,47.25,3
34,2nd phase judicial layout,1150.0,2.0,40.25,2
35,2nd stage nagarbhavi,1500.0,4.0,220.0,4
36,2nd stage nagarbhavi,3000.0,8.0,451.0,6
37,2nd stage nagarbhavi,2400.0,8.0,450.0,6
38,2nd stage nagarbhavi,1350.0,4.0,200.0,4
39,2nd stage nagarbhavi,1200.0,4.0,225.0,4
40,2nd stage nagarbhavi,1500.0,3.0,230.0,4
41,5th block hbr layout,1206.0,2.0,56.0,2
42,5th block hbr layout,1270.0,2.0,70.0,3
43,5th block hbr layout,1312.0,2.0,69.0,2
44,5th block hbr layout,1100.0,2.0,48.0,2
45,5th block hbr layout,3600.0,5.0,130.0,5
46,5th block hbr layout,5100.0,5.0,300.0,6
47,5th phase jp nagar,1075.0,2.0,60.0,2
48,5th phase jp nagar,1150.0,3.0,52.5,2
49,5th phase jp nagar,1256.0,2.0,62.8,2
50,5th phase jp nagar,1207.0,2.0,63.0,2
51,5th phase jp nagar,1725.0,2.0,100.0,3
52,5th phase jp nagar,1440.0,2.0,60.0,2
53,5th phase jp nagar,1700.0,2.0,100.0,3
55,5th phase jp nagar,2500.0,5.0,110.0,5
56,5th phase jp nagar,600.0,1.0,30.0,1
57,5th phase jp nagar,1390.0,2.0,65.0,2
58,5th phase jp nagar,1256.0,2.0,62.8,2
59,5th phase jp nagar,1000.0,2.0,48.0,2
60,5th phase jp nagar,1350.0,2.0,75.0,3
61,5th phase jp nagar,552.0,1.0,23.5,1
62,5th phase jp nagar,1200.0,2.0,51.0,2
66,5th phase jp nagar,1030.0,2.0,57.0,2
67,5th phase jp nagar,1200.0,2.0,68.0,2
68,5th phase jp nagar,1190.0,2.0,61.8,2
69,5th phase jp nagar,4000.0,5.0,170.0,5
70,5th phase jp nagar,1080.0,2.0,53.0,2
71,5th phase jp nagar,1041.0,2.0,54.0,2
72,5th phase jp nagar,812.0,2.0,42.0,2
73,5th phase jp nagar,1010.0,2.0,57.0,2
75,5th phase jp nagar,1075.0,2.0,60.0,2
76,6th phase jp nagar,1192.0,2.0,74.0,2
77,6th phase jp nagar,1180.0,2.0,80.0,2
78,6th phase jp nagar,3245.0,4.0,250.0,4
79,6th phase jp nagar,1645.0,3.0,100.0,3
80,6th phase jp nagar,1140.0,2.0,65.0,2
81,6th phase jp nagar,2040.0,3.0,200.0,3
82,6th phase jp nagar,1213.0,2.0,63.0,2
83,6th phase jp nagar,1216.0,2.0,60.0,2
